# File test_mc.csv
# Generated by data_dfs_to_azcsv
# February 12, 2018
# Dataset MC_Actin (81, 96)
Step1Channel1   MC_Actin
Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
60.0,16161.866890044099,15061.0292067557,15504.817426123998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15414.694707988701,16143.435572248001,15865.529135101298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16292.811573078201,17022.692248581898,16586.6788658363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14051.5161901479,15343.039477806398,15283.123370203,16669.7051029076,16595.3595853732,17258.673235456397,NaN,NaN,NaN,NaN,NaN,NaN,15282.2767070183,16091.971733453202,16801.7627280394,17214.5590847872,17882.1444619098,18525.5264379351,NaN,NaN,NaN,NaN,NaN,NaN,14094.4673503674,16131.8868677145,16232.5054827084,16556.258571437098,17232.0095675167,17240.8216861496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60.5,16042.454308389499,14951.8838665197,15390.983068563999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15302.3749653377,16012.2373505384,15739.9525585485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16173.1099167949,16885.135942981,16454.3283439412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13936.8987866225,15212.383748648,15162.0244631318,16539.332446033703,16471.5138945967,17129.9279636353,NaN,NaN,NaN,NaN,NaN,NaN,15150.069291522801,15953.527518713201,16662.3129634268,17075.5929153175,17739.5649989482,18381.6811657133,NaN,NaN,NaN,NaN,NaN,NaN,13979.8406931734,15991.4250457298,16099.721777589499,16421.6382344003,17102.463024068602,17101.1794973385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61.0,15921.3931446991,14840.9046117633,15275.368714709199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15187.750610003,15879.0227268223,15612.6005601491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16050.2079704645,16745.3414386163,16319.949752152099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13818.622975895702,15078.1763296346,15039.774318247,16407.6716123204,16347.5747778146,17001.5215985487,NaN,NaN,NaN,NaN,NaN,NaN,15013.9177997789,15811.0751843384,16520.586321843202,16934.892371700702,17594.8708963698,18236.1146991945,NaN,NaN,NaN,NaN,NaN,NaN,13861.5416265648,15846.759688401798,15964.7927141177,16285.9745869587,16965.934212618402,16961.768389136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61.5,15798.5929437553,14729.170148269699,15158.4900722749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15071.056831605601,15743.3468450645,15483.7204122775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15925.744756575601,16604.3035669487,16183.8642132072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13697.7319813296,14940.6763635323,14916.0383847132,16273.8394245728,16223.0608783609,16871.4743515064,NaN,NaN,NaN,NaN,NaN,NaN,14874.264893118701,15665.342288751399,16377.4258417774,16792.329161403402,17452.9656106804,18090.396205108602,NaN,NaN,NaN,NaN,NaN,NaN,13740.369985936499,15699.7788048448,15827.1147892796,16148.323562168502,16828.3257670128,16822.1268376406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62.0,15672.9384730675,14615.962827642199,15040.303945824098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14951.9783791625,15606.609538993602,15353.040776493799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15799.1089199598,16461.5093697523,16046.7295054937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13573.9276939723,14801.712443848899,14790.6795919073,16138.1377265845,16098.128100071699,16739.6443722932,NaN,NaN,NaN,NaN,NaN,NaN,14732.4755729028,15517.182808559099,16233.1168303232,16648.3631892651,17314.2364359417,17943.6902023019,NaN,NaN,NaN,NaN,NaN,NaN,13617.635600116699,15550.576356895,15686.9249005074,16009.139535954198,16689.5617897177,16681.8004773682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62.5,15546.592666776201,14502.0301395077,14921.813196333402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14831.875313300401,15469.8895742079,15221.2180995262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15671.7222366229,16318.3692840699,15909.217326691001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13449.1646826426,14662.265412068798,14665.345687441899,16001.2608880126,15972.9605372401,16606.8029740335,NaN,NaN,NaN,NaN,NaN,NaN,14589.5859323546,15367.3991316958,16087.7443944305,16503.8886832161,17179.4776079926,17797.3314772656,NaN,NaN,NaN,NaN,NaN,NaN,13494.1155092294,15400.0574239106,15546.0947415926,15869.5145125067,16550.783753218602,16541.6907475243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63.0,15418.5984699565,14387.7838556981,14802.9178488195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14710.2300895952,15333.6263525123,15086.466936858702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15543.3260160035,16174.6774310604,15771.6583905722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13324.187632429299,14522.9789075277,14539.1291268576,15863.266862806498,15848.7975357183,16474.8868018049,NaN,NaN,NaN,NaN,NaN,NaN,14446.1508597432,15216.7946919777,15941.797938534799,16358.5438497907,17048.9847021108,17651.1468005776,NaN,NaN,NaN,NaN,NaN,NaN,13369.913098244098,15250.2665188214,15404.469228901202,15729.128760461599,16410.855634593,16400.756642013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63.5,15289.295958061899,14273.7047103422,14683.785711898601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14587.7080572004,15197.9709760279,14951.2566886718,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15414.865324953798,16032.055293868501,15634.180192850201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13199.2499452728,14384.7275367202,14411.650712299599,15724.593177414099,15725.0201753368,16343.852167589199,NaN,NaN,NaN,NaN,NaN,NaN,14302.387757594499,15066.815650716799,15796.1601245099,16213.6717604913,16923.647645163703,17505.184254491698,NaN,NaN,NaN,NaN,NaN,NaN,13245.0436052861,15100.434496558799,15262.0368155491,15588.556909646399,16271.802581342099,16260.2936708752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64.0,15157.9961958831,14159.0329405508,14564.168859001798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14463.7101709493,15062.450919436002,14816.2748044529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15284.9395319117,15889.467400835902,15497.180495761399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13074.395302511399,14247.453600411001,14284.9068383165,15586.646919865601,15601.4324923567,16214.2990383382,NaN,NaN,NaN,NaN,NaN,NaN,14158.878236032,14917.057858054699,15650.260986527199,16069.679747246299,16794.2226411134,17358.892600391002,NaN,NaN,NaN,NaN,NaN,NaN,13119.589121185902,14950.031396415301,15119.5716685781,15448.708554377099,16132.942655803601,16120.1712547651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64.5,15026.8144004672,14044.8188618393,14444.2722458678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14339.322335857,14928.5240724256,14682.5964714271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15154.1863516341,15747.853468646299,15361.0348019434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12950.557418481201,14111.1449817402,14158.8362849199,15450.4596590239,15478.6556731564,16086.358384551699,NaN,NaN,NaN,NaN,NaN,NaN,14015.2670117625,14768.499333861799,15505.1824904861,15927.1339457949,16660.3692702747,17212.7388935654,NaN,NaN,NaN,NaN,NaN,NaN,12993.5335570776,14800.0968102719,14978.1849137954,15310.373582349699,15995.3494248286,15981.7881976865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
