# Azure-data-example-2018-04-10.csv
# 4/10/18 RTK
# Data originally from 033018r1_qual1_analysis.xlsx
Step2Channel1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11,A12,B12,C12,D12,E12,F12,G12,H12
11,0.03982097,0.02981636,0.02145725,0.01671823,0.04613967,0.06937405,0.04534983,0.02389258,0.04113737,0.04567893,0.02125979,0.008622392,0.06364773,0.0432436,0.0236293,0.01086026,0.02997365,0.0312253,0.0314888,0.0256917,0.04189723,0.07206851,0.03570487,0.01910408,0.04110672,0.04802372,0.02358366,0.01034256,0.06653491,0.04604743,0.02259552,0.01824769,0.03574726,0.03205382,0.02262235,0.02084158,0.04267247,0.05625907,0.02565625,0.01879699,0.04471705,0.04524469,0.02394143,0.01042079,0.06687772,0.03165809,0.02288616,0.01985226,0.02104777,0.01748483,0.01781473,0.006664027,0.05905252,0.05423595,0.02243336,0.01121668,0.03219847,0.03543151,0.01695698,0.00415677,0.05964635,0.03510161,0.01629718,0.03266033,0.02016396,0.01804839,0.01361893,0.0128256,0.03120455,0.05150073,0.02089118,0.01434616,0.03722068,0.03649345,0.01494116,0.001785006,0.05665741,0.02922121,0.01533783,0.01487505,0.03803916,0.03334215,0.02613125,0.02143424,0.04366234,0.07012437,0.03393755,0.02348505,0.04452236,0.04888859,0.02361736,0.007078592,0.06258269,0.05120402,0.02341889,0.01964805
12,0.04069189,0.03002187,0.02160514,0.01656836,0.0466565,0.07024985,0.04546358,0.02438863,0.04161972,0.0459275,0.02114123,0.008549274,0.06468288,0.04340911,0.02352707,0.01139903,0.03030705,0.03130181,0.03183235,0.02559851,0.04204523,0.07294913,0.03587771,0.01903309,0.04138206,0.04827906,0.02374163,0.01021288,0.06717952,0.04609059,0.02268055,0.01797201,0.03611498,0.03179977,0.02263825,0.02071301,0.04268738,0.05709354,0.02549293,0.01885415,0.04467902,0.04540928,0.02363407,0.0103565,0.06725088,0.03160061,0.02277103,0.01978358,0.02107853,0.01742137,0.01762085,0.006183922,0.05911297,0.05505685,0.0224749,0.01083849,0.0321165,0.03564067,0.01682293,0.003790146,0.06024337,0.03510872,0.0160915,0.03244897,0.02010519,0.01824113,0.01338127,0.01271553,0.03102323,0.05252646,0.02063777,0.01398043,0.03714799,0.03694827,0.01471274,0.001464616,0.05738633,0.02955862,0.01511218,0.01557819,0.03838209,0.03351769,0.02625442,0.02125675,0.04397948,0.07130006,0.03418405,0.02358899,0.04484574,0.04937696,0.0237889,0.007529819,0.06337043,0.05177584,0.02352236,0.01992404
13,0.04160545,0.02985174,0.02177107,0.01669561,0.0467477,0.07078937,0.04607987,0.02437558,0.04187258,0.04547883,0.02137038,0.008347803,0.0649793,0.04327501,0.02377454,0.01141979,0.03094713,0.03141501,0.03161553,0.02593409,0.04210949,0.07372501,0.03596016,0.01938373,0.04177528,0.04812513,0.0237952,0.01056079,0.0679099,0.04638727,0.02279259,0.0181806,0.03687099,0.03191917,0.02295236,0.02101178,0.04275963,0.05808351,0.02562902,0.01920503,0.04483405,0.04523554,0.02382227,0.01063972,0.06792024,0.03185225,0.02308619,0.02007495,0.02142331,0.01747339,0.01780813,0.006493941,0.05958359,0.05583451,0.02289616,0.01111334,0.03226886,0.03541541,0.01713865,0.004083819,0.06085559,0.03521457,0.01640222,0.03293834,0.02044921,0.01850486,0.01361046,0.01293999,0.03137781,0.053235,0.02085149,0.01434797,0.03747905,0.03660744,0.01495139,0.001810258,0.05786121,0.0295005,0.01535367,0.01622528,0.03889746,0.03353229,0.02635638,0.02152773,0.04399437,0.0719603,0.03440413,0.02407619,0.04500034,0.04909128,0.02407619,0.007712427,0.06384549,0.05190799,0.02387499,0.0202535
14,0.04242302,0.0301869,0.02218636,0.01721124,0.04712922,0.07139976,0.04679306,0.02494285,0.04228856,0.04578459,0.02144682,0.008807315,0.06588678,0.04349872,0.02400161,0.01169827,0.03136569,0.03109645,0.03170223,0.02564448,0.04200041,0.07410648,0.03600996,0.0193848,0.04186579,0.04799085,0.02375984,0.01043279,0.06851989,0.04630814,0.02281753,0.01810594,0.03758841,0.03192994,0.02303806,0.0211519,0.04291007,0.05874032,0.02586729,0.01926575,0.04493095,0.0452004,0.0240485,0.01064331,0.06844055,0.03179522,0.02330751,0.02014146,0.02156916,0.01739013,0.01813157,0.006605554,0.0596522,0.05628202,0.02305203,0.0112564,0.03228633,0.0355217,0.01725532,0.004111621,0.06174171,0.0353869,0.01658129,0.03309517,0.02072924,0.0187711,0.01377448,0.01316678,0.03160027,0.05361242,0.02120189,0.0144497,0.03781229,0.03666442,0.015395,0.001890614,0.05881161,0.02964213,0.01573261,0.01654288,0.03912955,0.03365547,0.02642428,0.021626,0.04406299,0.0725147,0.03453403,0.02432926,0.04494154,0.04913158,0.02419409,0.007569102,0.06460769,0.05203757,0.02412651,0.02054471
15,0.04267425,0.03000745,0.02208223,0.01686649,0.04700942,0.07159791,0.04687394,0.02485945,0.04213236,0.04592562,0.02113392,0.008399377,0.06672086,0.04375804,0.02370792,0.01124433,0.03166316,0.03125636,0.03179877,0.02583226,0.04217235,0.07424232,0.03600244,0.01939115,0.04196895,0.04847786,0.02400163,0.01030578,0.06922504,0.04664723,0.0226456,0.01810292,0.03760011,0.03196688,0.02294014,0.0209719,0.04282612,0.05897923,0.02558708,0.01927515,0.04493009,0.04554093,0.02395819,0.01058776,0.06929551,0.03196688,0.02314375,0.01995385,0.02145719,0.01731514,0.01779045,0.006450737,0.05961839,0.05629117,0.02308685,0.0110002,0.03218578,0.03571671,0.01724723,0.00380254,0.06240239,0.03564881,0.0164324,0.03313642,0.02060524,0.01856511,0.01346481,0.01285277,0.03134988,0.0533832,0.02067324,0.01407684,0.03760626,0.0366542,0.01489289,0.00149609,0.05936756,0.02951377,0.01523291,0.01625298,0.03933846,0.03328115,0.02606683,0.0212346,0.04396651,0.0721432,0.03437011,0.02416117,0.04505547,0.04900293,0.02409311,0.00728238,0.06513306,0.05233785,0.02388893,0.02028177
16,0.04359097,0.03008391,0.02210246,0.01650863,0.04713828,0.07169657,0.04734293,0.0249676,0.04243127,0.04625145,0.0210792,0.008049662,0.06698956,0.04365918,0.02373968,0.0109148,0.03181973,0.03106862,0.03168317,0.02560601,0.04206214,0.074155,0.03598498,0.01939228,0.04213042,0.04868556,0.02389894,0.01031069,0.06958006,0.04670536,0.02253329,0.01789006,0.03798333,0.0320399,0.02302227,0.02090449,0.04297035,0.05916109,0.02561825,0.0196065,0.04515644,0.04604454,0.02397869,0.01052056,0.06968165,0.03210821,0.02329553,0.01987977,0.02146862,0.01736633,0.01784493,0.006221797,0.05961986,0.05633803,0.0231779,0.01080268,0.03213456,0.03603172,0.01716122,0.003760427,0.06276494,0.03568987,0.01634076,0.03316012,0.02061644,0.01869863,0.01356164,0.01273973,0.03130137,0.05363014,0.02068493,0.0140411,0.03767123,0.03691781,0.015,0.001369863,0.05986301,0.02965753,0.01541096,0.01630137,0.03919687,0.03337216,0.02603988,0.02124306,0.04378812,0.07215788,0.03440005,0.02425821,0.04488453,0.04933872,0.02391558,0.007126705,0.06544234,0.05249092,0.02377852,0.02035222
17,0.04434818,0.03107811,0.02207096,0.01622662,0.04840484,0.07343234,0.04716722,0.02488999,0.04276678,0.04929868,0.02055831,0.007494499,0.06751925,0.04537954,0.02310231,0.01045104,0.03186072,0.03213597,0.03172309,0.02525461,0.04287091,0.07603908,0.03585191,0.01906138,0.04259565,0.05181668,0.02374071,0.009840352,0.07025874,0.04830718,0.02229562,0.01740985,0.03789706,0.03259147,0.02287604,0.02011989,0.04361607,0.0607731,0.02487425,0.01887963,0.04526976,0.04878385,0.02342727,0.009784332,0.0700751,0.03362503,0.02260043,0.01908634,0.02131181,0.01800124,0.01765639,0.005862473,0.06048693,0.05786606,0.0229671,0.01048348,0.03234706,0.03889924,0.01669081,0.003310573,0.06331471,0.03738189,0.01579419,0.03289882,0.02023481,0.01982044,0.01332873,0.0121547,0.0320442,0.05517956,0.02023481,0.01332873,0.0378453,0.03991713,0.0144337,0.0005524862,0.06042818,0.03142265,0.01470994,0.01574586,0.03939729,0.03442079,0.02612663,0.02087365,0.04458115,0.07423279,0.03421343,0.02377661,0.04561792,0.05252972,0.02363838,0.006358861,0.0662151,0.05432679,0.02343102,0.01976776
18,0.04522787,0.03130627,0.02216373,0.01599945,0.04848317,0.07383294,0.04758277,0.02458789,0.04287297,0.05028397,0.02057072,0.007133952,0.06753013,0.04592049,0.02320266,0.01018147,0.03195619,0.03230279,0.03188687,0.02495494,0.04325523,0.07638985,0.03576875,0.01878553,0.04277,0.05275198,0.02356856,0.009566061,0.07049771,0.04914737,0.02204353,0.01705254,0.03830407,0.03316911,0.02296857,0.02012352,0.04406356,0.0615502,0.02505031,0.01901325,0.04579835,0.05017001,0.02359309,0.009784193,0.07064048,0.03455694,0.02262161,0.01908264,0.02124557,0.01812122,0.01756578,0.005415538,0.06061237,0.05839061,0.02263417,0.01006735,0.03256266,0.03999167,0.01645491,0.002846629,0.06373672,0.03790877,0.01548289,0.03256266,0.0201683,0.02009876,0.01335281,0.01203144,0.03219974,0.05556715,0.01995966,0.01328326,0.03804159,0.04103206,0.01432645,0.0004868211,0.06085263,0.0319911,0.01453509,0.01571736,0.03951304,0.03457391,0.02601739,0.02066087,0.04466087,0.07436522,0.03408696,0.02351304,0.04584348,0.05356522,0.02337391,0.006052174,0.06650434,0.05495652,0.02316522,0.01947826
19,0.04620209,0.031777,0.02236934,0.01616725,0.04878049,0.07470383,0.048223,0.02487805,0.04348432,0.05094077,0.02083624,0.007386759,0.068223,0.04655052,0.02334495,0.01073171,0.03223331,0.03251239,0.03188446,0.0252564,0.04332659,0.07674597,0.03593107,0.01904695,0.04318705,0.05316403,0.02365171,0.009767669,0.07067606,0.04918719,0.02225633,0.01744227,0.03860115,0.0332961,0.02303504,0.02031272,0.0442552,0.06163619,0.02491973,0.01898646,0.04607008,0.05039788,0.02359347,0.009842245,0.07092001,0.03448276,0.02261622,0.01919587,0.02186823,0.01851464,0.01802557,0.005729057,0.0616223,0.05896737,0.02312583,0.01034025,0.03325648,0.04066233,0.01704744,0.003213861,0.06448683,0.03835674,0.01599944,0.03318661,0.02057383,0.02043387,0.01329601,0.01224633,0.03254024,0.0559832,0.02015395,0.01336599,0.03869839,0.04135759,0.01448565,0.000559832,0.06116165,0.03219034,0.01462561,0.01595521,0.0397031,0.03459141,0.02618864,0.02065682,0.04474477,0.07478468,0.03410126,0.02380786,0.0463553,0.05377775,0.02345774,0.005951964,0.066662,0.05510819,0.02310763,0.01974652
20,0.04672045,0.03107681,0.02244826,0.01613469,0.04861452,0.07400912,0.04882497,0.02504385,0.04342336,0.04987724,0.02083479,0.007295686,0.0676254,0.04545774,0.02357068,0.01059277,0.03257512,0.03166245,0.03166245,0.02520359,0.04296546,0.07610222,0.03608537,0.01909576,0.04289525,0.05209211,0.02365908,0.009618085,0.07034541,0.04830104,0.02218478,0.01734063,0.03890723,0.03279725,0.02303533,0.0203666,0.04410422,0.06145094,0.02521244,0.01931315,0.04614088,0.04951191,0.02387808,0.00990238,0.07051057,0.03392092,0.02289487,0.01931315,0.02171164,0.01791737,0.01770658,0.005621136,0.06127037,0.05845981,0.02318718,0.01032884,0.03281338,0.03948848,0.01686341,0.00302136,0.06387015,0.03738055,0.0160905,0.03309444,0.02061638,0.02005348,0.01343935,0.01245426,0.03250774,0.05558683,0.02040529,0.01365044,0.03869969,0.04052913,0.01484661,0.0005629046,0.06093442,0.03159302,0.0150577,0.01618351,0.03991271,0.03428129,0.02604533,0.02083627,0.04469942,0.07433479,0.03449247,0.02414473,0.04638885,0.05286499,0.02372237,0.006757708,0.06652119,0.05413206,0.02358158,0.01992116
