# Azure-data-example-2018-04-10.csv
# 4/10/18 RTK
# Data originally from 033018r1_qual1_analysis.xlsx
Step2Channel1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11,A12,B12,C12,D12,E12,F12,G12,H12
6,0.1786636,0.1620304,0.1517063,0.1281904,0.1990249,0.2486378,0.2569544,0.1525667,0.165185,0.2021795,0.1568684,0.1084026,0.1783768,0.2007456,0.1370806,0.08316605,0.1571387,0.1694915,0.1766734,0.1367423,0.189888,0.2441827,0.2257972,0.1341569,0.1634588,0.2071244,0.1703534,0.1097386,0.181557,0.2059753,0.1261132,0.1281241,0.163741,0.1680576,0.1556835,0.134964,0.1833093,0.02992806,0.03223022,0.1294964,0.1741007,0.1948202,0.1706475,0.1053237,0.1789928,0.02848921,0.01784173,0.1271942,0.02898967,0.01004592,0.01176808,0,0.0401837,0.03243398,0.02123995,0.007462686,0.04448909,0.03501722,0.02296211,0.01004592,0.05137773,0.03530425,0.01808266,0.03214696,0.02788959,0.009488212,0.00920069,0,0.04312823,0.03076481,0.02185164,0.009775734,0.0480161,0.03479011,0.02415181,0.00920069,0.04859114,0.03133985,0.01753882,0.01236343,0.1752667,0.1830499,0.1674834,0.1363505,0.1925627,0.2340732,0.2159124,0.1481695,0.1749784,0.2026521,0.1695013,0.103488,0.164889,0.2124532,0.1297204,0.1219372
7,0.1809496,0.1658946,0.1548929,0.1299942,0.2029531,0.2533295,0.2634627,0.1540243,0.1682108,0.2041112,0.1583671,0.1088593,0.1786335,0.2015055,0.1383903,0.08338159,0.1610661,0.1717845,0.1790266,0.1387601,0.1929316,0.2468134,0.2282735,0.1367323,0.1671495,0.2088644,0.1726535,0.1106605,0.1839513,0.208285,0.1274623,0.1294902,0.1663773,0.1698495,0.1582755,0.1368634,0.1854745,0.03096065,0.03269676,0.1345486,0.177662,0.1961806,0.1721644,0.1064815,0.1799769,0.02864583,0.01851852,0.1281829,0.02919919,0.01069673,0.01127493,0,0.04134143,0.0329575,0.02139347,0.007227522,0.04452154,0.03527031,0.02312807,0.01011853,0.05203816,0.03527031,0.01734605,0.0329575,0.02839757,0.009852217,0.008403362,0,0.0440452,0.03100551,0.02173283,0.009852217,0.04897131,0.03535207,0.02376123,0.008982903,0.04839177,0.03187482,0.01651695,0.01390901,0.1775647,0.1836675,0.1691369,0.1365882,0.1935484,0.2353967,0.2170881,0.1514095,0.1766928,0.2048823,0.1717524,0.105202,0.1691369,0.2141819,0.1304853,0.1243824
8,0.1838043,0.1672007,0.1570055,0.1322459,0.2044859,0.2551704,0.2659481,0.156423,0.1718614,0.2044859,0.1590446,0.1101078,0.1803088,0.2021555,0.1392368,0.08563938,0.1617133,0.1727856,0.1789044,0.138986,0.1928904,0.2470862,0.2281469,0.138986,0.1687063,0.2094988,0.1736597,0.1118881,0.1841492,0.2092075,0.1284965,0.1299534,0.1676874,0.1694372,0.1583552,0.1364829,0.1851852,0.03062117,0.03266259,0.1370662,0.1787693,0.1965588,0.17352,0.1090697,0.1799358,0.02887139,0.01895596,0.1286089,0.02997672,0.01076834,0.01193248,0,0.04161816,0.03317811,0.02153667,0.007566938,0.04569267,0.03608847,0.02328289,0.01076834,0.05296857,0.03637951,0.0177532,0.03346915,0.02915452,0.01107872,0.009037901,0,0.04431487,0.03206997,0.02274052,0.01020408,0.04956268,0.03702624,0.02419825,0.009329446,0.04927114,0.03265306,0.01720117,0.01370262,0.1786028,0.184449,0.1686641,0.1370944,0.1935107,0.2344344,0.2166033,0.1531716,0.1780181,0.206957,0.1742181,0.1061093,0.170418,0.2160187,0.1318328,0.1265712
9,0.1867293,0.1714621,0.1591309,0.1324134,0.2061069,0.258074,0.271286,0.1576629,0.1743981,0.2066941,0.1597181,0.110687,0.1808573,0.2037581,0.140047,0.08778626,0.1648094,0.172434,0.1794721,0.1392962,0.1938416,0.2478006,0.2284458,0.1404692,0.1709677,0.2099707,0.1741935,0.1123167,0.1853372,0.2099707,0.1284457,0.1304985,0.1714706,0.1711765,0.16,0.1373529,0.1873529,0.0317647,0.03294118,0.1391176,0.1823529,0.1985294,0.1752941,0.1102941,0.1814706,0.02941176,0.01941177,0.1297059,0.02905782,0.009979454,0.01085999,0,0.04109187,0.0328735,0.02142647,0.007631347,0.04520106,0.03551511,0.02260053,0.01056648,0.05224538,0.03580863,0.01702377,0.03375404,0.0282436,0.01059135,0.008531922,0,0.04383642,0.03147985,0.02206531,0.008826125,0.0494263,0.03706973,0.02324213,0.008237717,0.04854369,0.03265666,0.01706384,0.01323919,0.1813899,0.1855124,0.1699058,0.1375147,0.1943463,0.2364547,0.2187868,0.1548881,0.1799175,0.2090695,0.1760895,0.1071849,0.1713781,0.2173145,0.1336867,0.1275029
10,0.1897573,0.1725873,0.16045,0.1329189,0.2075192,0.2593251,0.2747188,0.1589698,0.1773239,0.2075192,0.1598579,0.1098283,0.1820604,0.204855,0.1397277,0.08792185,0.1661238,0.1729346,0.1797453,0.1391768,0.1942553,0.2490376,0.2300859,0.1409535,0.1720462,0.2114303,0.1753035,0.1119337,0.1859639,0.210838,0.1291087,0.1302932,0.1731281,0.1713525,0.1606984,0.1376147,0.1873335,0.03196212,0.0331459,0.1408701,0.1834862,0.1988754,0.1760876,0.1109796,0.1823025,0.0298905,0.0201243,0.130512,0.02899408,0.009763313,0.0112426,0,0.0408284,0.03254438,0.02130177,0.006508876,0.04556213,0.03550296,0.02307692,0.01005917,0.05266272,0.03639053,0.01745562,0.03284024,0.02957705,0.01183082,0.009168885,0,0.04554866,0.03253475,0.0230701,0.01064774,0.05087252,0.03815439,0.02484472,0.0100562,0.05028098,0.03371783,0.018042,0.01449275,0.1820071,0.1855701,0.1701306,0.1380641,0.1944774,0.236342,0.2185273,0.1567696,0.1808195,0.2105107,0.1775534,0.1074822,0.1710214,0.219418,0.1336105,0.1291568
11,0.1925484,0.1734724,0.161848,0.1341282,0.2098361,0.2622951,0.2792847,0.1615499,0.1788376,0.2083458,0.1609538,0.1117735,0.1821162,0.204769,0.1412817,0.09031297,0.1688505,0.173913,0.1807624,0.1405599,0.19595,0.2498511,0.2304943,0.1426444,0.1745086,0.2126266,0.1759976,0.1131626,0.1870161,0.2129244,0.1295414,0.131626,0.1751716,0.1721874,0.1602507,0.1378693,0.188302,0.03163235,0.03282602,0.1414503,0.1844226,0.1996419,0.1766637,0.1107132,0.1829305,0.02894658,0.01969561,0.1310057,0.02977077,0.01101518,0.01250372,0,0.04197678,0.0348318,0.02292349,0.007740399,0.04554927,0.03661804,0.02381661,0.01071748,0.05358738,0.03751116,0.01816017,0.0348318,0.02894658,0.0113399,0.00925097,0,0.04506117,0.03222919,0.02297821,0.00925097,0.05043271,0.03789913,0.02506715,0.008952552,0.05043271,0.03372128,0.01820352,0.01581617,0.1838565,0.186846,0.1713004,0.1381166,0.1958147,0.2379671,0.2203289,0.1581465,0.1823617,0.2122571,0.1796712,0.1064275,0.1721973,0.2218236,0.135426,0.1300448
12,0.1961608,0.1760648,0.1655669,0.1358728,0.2123575,0.2657469,0.2855429,0.1658668,0.1811638,0.2105579,0.1625675,0.1121776,0.1835633,0.2069586,0.1427715,0.09358128,0.1707683,0.17497,0.1815726,0.1404562,0.1962785,0.2515006,0.2316927,0.1440576,0.1752701,0.2133854,0.177371,0.1140456,0.1872749,0.2130852,0.1302521,0.1314526,0.1776375,0.1725278,0.1617072,0.1391644,0.1896604,0.03246168,0.03276225,0.1430718,0.1857529,0.2010821,0.1770364,0.1118124,0.1842501,0.02945597,0.01983769,0.1313496,0.02878561,0.0101949,0.0113943,0,0.04137931,0.03388306,0.02278861,0.006896552,0.04527736,0.03568216,0.02368816,0.0107946,0.05277361,0.03688156,0.01769115,0.03418291,0.0291554,0.0114217,0.008716562,0,0.04508566,0.03216111,0.02254283,0.009618275,0.05079651,0.03757139,0.02464683,0.008716562,0.05019537,0.03336339,0.01713255,0.01623084,0.1873684,0.1885714,0.1732331,0.1404511,0.197594,0.24,0.2225564,0.1606015,0.1843609,0.2150376,0.1816541,0.1106767,0.1741353,0.2246616,0.1365414,0.1326316
13,0.2006042,0.1776435,0.1673716,0.1371601,0.2151057,0.2673716,0.2900302,0.1667674,0.18429,0.2117825,0.1637462,0.1129909,0.1854985,0.207855,0.1432024,0.09425982,0.1733615,0.1766838,0.1842344,0.1428571,0.1981274,0.2533978,0.2343703,0.1455754,0.1781939,0.2144367,0.179402,0.114769,0.1887647,0.2147388,0.1322863,0.1331924,0.1815702,0.173689,0.163686,0.1406487,0.1921794,0.03334344,0.03364656,0.1451955,0.1882389,0.2024856,0.1794483,0.1127614,0.1855108,0.02970597,0.02061231,0.1327675,0.03023889,0.01118839,0.01239794,0,0.04233444,0.03447233,0.02298155,0.007559722,0.04656789,0.03689144,0.02388872,0.010886,0.05412761,0.03689144,0.01814333,0.03447233,0.02936724,0.01271571,0.009688162,0,0.04601877,0.03360581,0.02300939,0.01059643,0.05177112,0.03875265,0.02512867,0.009385407,0.05116561,0.03330306,0.0181653,0.01755979,0.1880497,0.1895663,0.1737944,0.1410373,0.1986655,0.2417349,0.2235366,0.1616621,0.1856233,0.2159539,0.1831968,0.1094935,0.1740977,0.2262663,0.1377009,0.1331514
14,0.2022506,0.1779197,0.1672749,0.1374696,0.2156326,0.2691606,0.2940997,0.1684915,0.1843066,0.2116788,0.1645377,0.1128346,0.185219,0.2086375,0.1441606,0.09367397,0.1749315,0.1770612,0.18345,0.1423791,0.1983572,0.2534226,0.2345604,0.1460298,0.1797992,0.215394,0.1791908,0.1146943,0.190143,0.2160024,0.1317311,0.132948,0.1826484,0.1747336,0.1628615,0.1406393,0.1914764,0.03378996,0.03226788,0.1458143,0.1890411,0.2033485,0.1789954,0.113242,0.1863014,0.03013699,0.01978691,0.1330289,0.02981442,0.01034378,0.01125646,0,0.0422878,0.03407362,0.02372984,0.006997262,0.04624277,0.03681168,0.02372984,0.009431092,0.05445695,0.0380286,0.0179495,0.03407362,0.02863235,0.01127018,0.008224186,0,0.04477612,0.03228754,0.02193116,0.009442583,0.05025891,0.03807493,0.02406336,0.009137983,0.04995431,0.03289674,0.01705757,0.01736217,0.1885296,0.1897499,0.1738865,0.1415497,0.1995119,0.2419158,0.223612,0.1632093,0.1860891,0.2162904,0.1836486,0.1110433,0.1741916,0.2278829,0.138194,0.1348383
15,0.2068543,0.1799266,0.1692166,0.1392289,0.2175643,0.2711138,0.2986536,0.1698286,0.1863525,0.2132803,0.1652387,0.1141371,0.1872705,0.2096083,0.1447368,0.09516524,0.1762722,0.1768854,0.1842428,0.1428571,0.1995708,0.2550583,0.2348253,0.1465359,0.1805641,0.2161251,0.1796444,0.1158798,0.190374,0.2164316,0.131821,0.1339669,0.1836045,0.1759288,0.1645686,0.1406202,0.1928155,0.03377341,0.03285232,0.1455327,0.1888241,0.2044827,0.1805342,0.1132944,0.1863678,0.02978201,0.02057108,0.1329444,0.03033088,0.01072304,0.01164216,0,0.04289216,0.03431373,0.02359069,0.007352941,0.046875,0.03768382,0.02389706,0.01072304,0.05453431,0.0379902,0.01838235,0.03523284,0.02882551,0.01257283,0.009199632,0,0.04599816,0.03219871,0.02299908,0.0101196,0.05182459,0.03894511,0.02514566,0.009199632,0.05182459,0.03342533,0.01809261,0.01809261,0.1902274,0.1905347,0.1742471,0.1413645,0.1997541,0.2430854,0.224032,0.1637984,0.1871543,0.2178857,0.1843884,0.1103258,0.1754763,0.2298709,0.137984,0.1352182
16,0.2102991,0.1819303,0.1711378,0.1399938,0.2201665,0.2747456,0.3055812,0.1720629,0.1890225,0.2146161,0.1662041,0.1140919,0.1874807,0.2106075,0.1458526,0.09589886,0.1796296,0.179321,0.187037,0.1444445,0.2018518,0.258642,0.237963,0.1487654,0.1833333,0.2185185,0.1827161,0.1166667,0.1925926,0.2191358,0.133642,0.1348765,0.1865925,0.1773247,0.1668211,0.1424158,0.1946246,0.03490886,0.03459994,0.1485944,0.1902997,0.206055,0.1822675,0.1155391,0.1884461,0.03058387,0.02131603,0.1343837,0.030191,0.01109057,0.01232286,0,0.04343808,0.03512015,0.02495379,0.008626001,0.04651879,0.03789279,0.02495379,0.01170672,0.05514479,0.03820086,0.01910043,0.03604436,0.02997528,0.01297899,0.009579728,0,0.04697157,0.03368356,0.02410383,0.0105068,0.05284302,0.03893696,0.02595797,0.009270704,0.05222497,0.03337454,0.01885043,0.01761434,0.1923196,0.1920099,0.1768349,0.1430784,0.2019201,0.2449675,0.2270053,0.1644472,0.1886033,0.2195726,0.1861257,0.1111799,0.1765252,0.23227,0.1396717,0.1368845
17,0.2119801,0.182185,0.1710118,0.1393544,0.2216015,0.2759156,0.3091248,0.1731844,0.1896338,0.2157045,0.166977,0.1139044,0.1883923,0.2116698,0.1455618,0.0955928,0.1808874,0.1796463,0.1877133,0.1442755,0.2029165,0.2578343,0.2389078,0.1492398,0.1836798,0.2190506,0.182749,0.1169718,0.1939187,0.2199814,0.1349674,0.1352777,0.1874222,0.1780822,0.1668742,0.142279,0.1948941,0.03486924,0.03393524,0.1488169,0.1914695,0.2082814,0.1827522,0.1148817,0.1886675,0.03113325,0.02117061,0.1341843,0.03099814,0.01177929,0.01270924,0,0.04370738,0.03595784,0.02479851,0.008369498,0.04773714,0.03812771,0.02510849,0.01177929,0.05610663,0.03905766,0.01921885,0.03564786,0.03075489,0.01366884,0.009319665,0,0.04721963,0.03448276,0.02329916,0.01087294,0.05312209,0.04007456,0.02547375,0.01025163,0.05187947,0.03479341,0.01863933,0.01863933,0.1930863,0.192152,0.1768919,0.1432576,0.2018063,0.245095,0.2264092,0.1659919,0.189972,0.2208035,0.1862348,0.1118032,0.1781376,0.2338835,0.1401433,0.1373404
18,0.215625,0.18375,0.1746875,0.141875,0.22375,0.27875,0.3165625,0.17625,0.1915625,0.2175,0.168125,0.11625,0.19,0.2128125,0.1484375,0.0975,0.1825,0.1815625,0.1884375,0.1459375,0.2040625,0.26125,0.2396875,0.150625,0.185625,0.22125,0.1840625,0.1184375,0.1946875,0.2215625,0.1353125,0.13625,0.1891046,0.1790858,0.1687539,0.14402,0.1966187,0.03569192,0.03350031,0.1496556,0.1934878,0.208516,0.1844083,0.1167815,0.1897307,0.0313087,0.02128992,0.1358798,0.03065374,0.01126056,0.01251173,0,0.04379106,0.03597122,0.02502346,0.007194245,0.04754457,0.03784798,0.02471067,0.01063497,0.0556772,0.03878636,0.0187676,0.03565843,0.0294394,0.01284059,0.009395553,0,0.04666458,0.03288443,0.0231757,0.009708738,0.05230191,0.03914814,0.02536799,0.009082368,0.05198872,0.03382399,0.01785155,0.01816474,0.1946014,0.1939736,0.1776522,0.1440678,0.2033898,0.2473321,0.2288136,0.1669805,0.1914627,0.2219083,0.18801,0.1120527,0.1792216,0.2360326,0.1415568,0.138732
19,0.2183076,0.1849638,0.1755269,0.1424976,0.2264863,0.2812205,0.3214847,0.176156,0.1921988,0.2189368,0.1692356,0.1154451,0.1909405,0.2139037,0.1481598,0.0987732,0.1837056,0.1815036,0.1893677,0.1472161,0.2041523,0.261403,0.2412708,0.15162,0.1859075,0.2217679,0.1846493,0.1189053,0.1950299,0.2214533,0.1358918,0.1368355,0.190746,0.1797293,0.1696569,0.1451055,0.1979855,0.03588291,0.03367957,0.1501416,0.1942084,0.209317,0.1847655,0.1167768,0.190746,0.03084671,0.02140384,0.1362921,0.03205531,0.01162791,0.01257071,0,0.04431175,0.03614079,0.02545569,0.007856694,0.0477687,0.03834067,0.02545569,0.01162791,0.05593966,0.0389692,0.0194846,0.03645506,0.03053195,0.01447907,0.0100724,0,0.04784388,0.03525338,0.02392194,0.01070192,0.05382436,0.04060435,0.02581051,0.009757633,0.05288007,0.03525338,0.01951527,0.01888574,0.1958373,0.1952066,0.1794387,0.14538,0.2037212,0.2491328,0.2295806,0.1684011,0.1923683,0.2242195,0.1882687,0.1122674,0.1794387,0.2384106,0.1415957,0.1397036
20,0.2209229,0.1861568,0.1757269,0.1428571,0.2278761,0.2835019,0.3258533,0.1782554,0.193426,0.2199747,0.1697219,0.1169406,0.1908976,0.2149178,0.1491783,0.09892541,0.1844353,0.1815881,0.189497,0.1474217,0.2049984,0.2622588,0.2413793,0.1524834,0.1863334,0.222398,0.1853844,0.1195824,0.1961405,0.2227143,0.1360329,0.137931,0.1915636,0.1810974,0.1696797,0.1449413,0.1979068,0.03520457,0.03393593,0.1509673,0.1947352,0.2102759,0.1864891,0.1170314,0.1915636,0.03108151,0.02156676,0.1370124,0.03070592,0.01107946,0.01171257,0,0.04400127,0.03608737,0.02405825,0.007280785,0.04748338,0.03893637,0.02469136,0.0107629,0.05603039,0.03893637,0.01836024,0.03608737,0.0306962,0.01392405,0.009810126,0,0.04683544,0.03481013,0.02373418,0.01139241,0.05379747,0.04050633,0.02594937,0.01044304,0.05316456,0.03575949,0.0193038,0.01898734,0.1958175,0.1958175,0.1793409,0.146071,0.2043726,0.2490494,0.2303549,0.1692015,0.1939164,0.2237009,0.1891635,0.115019,0.1806084,0.2392269,0.1429024,0.1410013
21,0.2229299,0.1866242,0.1767516,0.1436306,0.2302548,0.2850319,0.3321656,0.1799363,0.1949045,0.2213376,0.1697452,0.1171975,0.1920382,0.2156051,0.1496815,0.09968153,0.1846546,0.1833811,0.191022,0.148042,0.2059854,0.2629736,0.2432346,0.1534543,0.1872015,0.2241324,0.1868832,0.1203438,0.1961159,0.2241324,0.1378542,0.1388093,0.1925287,0.1823116,0.1704981,0.1455939,0.1998723,0.03544061,0.03384419,0.1516603,0.1960409,0.2110472,0.1874202,0.1178161,0.192848,0.03128991,0.02171137,0.1372925,0.03085242,0.01176845,0.01304071,0,0.0442112,0.03625954,0.02544529,0.007633588,0.04834606,0.03880407,0.02608142,0.01081425,0.05693384,0.04007633,0.0197201,0.03657761,0.03059273,0.013703,0.009241555,0,0.04780115,0.03441682,0.02390057,0.01083493,0.05417463,0.03983429,0.02549395,0.009241555,0.05321861,0.0347355,0.01848311,0.01880178,0.1978302,0.196873,0.1805999,0.14582,0.2058073,0.2501595,0.2313338,0.169432,0.1955967,0.2255903,0.1908105,0.1139119,0.1821953,0.2418634,0.1435865,0.1407147
22,0.2259615,0.1891026,0.1785256,0.1451923,0.2326923,0.2884615,0.338782,0.1817308,0.1967949,0.2233974,0.1724359,0.1179487,0.1939103,0.2169872,0.1503205,0.1009615,0.1871795,0.1846154,0.1923077,0.1496795,0.2076923,0.2653846,0.2448718,0.1548077,0.1887821,0.225,0.1878205,0.1211538,0.1980769,0.225,0.1375,0.1387821,0.1943554,0.1834509,0.1731879,0.1481719,0.2007697,0.03720333,0.03527902,0.1536241,0.1969211,0.2132777,0.1885824,0.1199487,0.1930725,0.03239256,0.02212957,0.1391918,0.03204101,0.01249599,0.01409805,0,0.04581865,0.0378084,0.02627363,0.008651073,0.04870234,0.03973085,0.02723486,0.01185517,0.05767382,0.0410125,0.02018584,0.03844922,0.03109971,0.01410709,0.01090093,0,0.04809234,0.03430587,0.0246874,0.01058031,0.05450465,0.04071818,0.02661109,0.009939083,0.0535428,0.03526771,0.01987817,0.0185957,0.1987797,0.1965318,0.1817598,0.1473988,0.206808,0.2520874,0.2334618,0.1711625,0.1965318,0.2273603,0.1917148,0.1146435,0.1827232,0.2427746,0.1441875,0.1416185
23,0.2265549,0.1888495,0.1778924,0.1443764,0.2333226,0.2887528,0.342894,0.1824041,0.1969062,0.22301,0.1720915,0.1179504,0.1943281,0.218176,0.1508218,0.1011924,0.1867353,0.1841597,0.1925306,0.1487444,0.2073406,0.2656149,0.2450097,0.1542176,0.189633,0.2253703,0.1889891,0.121056,0.1986478,0.2263361,0.1394076,0.1390856,0.1950274,0.1817888,0.1714562,0.1459477,0.2008395,0.03519535,0.0326122,0.1530513,0.1966419,0.2124637,0.187278,0.1191476,0.1937359,0.03099774,0.02098805,0.1375525,0.03218539,0.01223045,0.0125523,0,0.0453814,0.0370132,0.02542646,0.007724493,0.0495655,0.03958803,0.02574831,0.01126489,0.0579337,0.04087544,0.01931123,0.03830061,0.03094778,0.0141844,0.009993552,0,0.0483559,0.03513862,0.02385558,0.0106383,0.05480335,0.04061896,0.02675693,0.00967118,0.05415861,0.03578337,0.01934236,0.01934236,0.1989664,0.1970284,0.1808785,0.1469638,0.2063953,0.251615,0.2325581,0.1705426,0.1963824,0.2273902,0.1918605,0.1143411,0.1828165,0.244186,0.1447028,0.1417959
24,0.2289235,0.1896887,0.1802853,0.1452659,0.2354086,0.2921531,0.3492218,0.1841764,0.1977951,0.2247082,0.1728275,0.1183528,0.1945525,0.2182231,0.1511025,0.1018158,0.1882696,0.1850292,0.1931303,0.1503564,0.2090084,0.2666883,0.2465975,0.1561892,0.1902139,0.2265068,0.1892417,0.1221646,0.1992871,0.2268309,0.1390149,0.139663,0.1957157,0.1840312,0.1736449,0.1473548,0.2018825,0.03602726,0.03440442,0.1541707,0.1979877,0.2145407,0.1898734,0.1197663,0.1953911,0.03213242,0.02174619,0.1398896,0.03170495,0.01261728,0.0129408,0,0.04496926,0.03752831,0.02555807,0.008411517,0.0488515,0.04011647,0.02555807,0.01099968,0.05758654,0.04076351,0.02005823,0.03914591,0.03079417,0.01458671,0.01004862,0,0.04862237,0.03533225,0.02463533,0.01102107,0.0547812,0.04084279,0.02658023,0.01004862,0.05380875,0.0356564,0.0191248,0.01944895,0.200065,0.1994154,0.1825268,0.1481,0.2078597,0.2543033,0.2348165,0.1731081,0.1987658,0.2292952,0.1929198,0.115622,0.1844755,0.2465086,0.145177,0.1429035
25,0.2310952,0.190678,0.1799218,0.1470013,0.2372881,0.2940026,0.3543025,0.1861147,0.1991525,0.2255541,0.1737288,0.1196219,0.1952412,0.2193611,0.1518905,0.1033246,0.1895766,0.1863192,0.1947883,0.1511401,0.2104235,0.2684039,0.2488599,0.157329,0.1912052,0.2273616,0.1912052,0.1228013,0.2009772,0.228013,0.1407166,0.1407166,0.1970636,0.1853181,0.1745514,0.148124,0.2039152,0.03686786,0.03491028,0.1549755,0.1993475,0.2156607,0.1908646,0.1207178,0.1960848,0.03262643,0.02218597,0.1393148,0.03193223,0.01140437,0.01270772,0,0.04561746,0.03714565,0.02541544,0.007820137,0.04952753,0.03942652,0.02574128,0.01107853,0.05799935,0.04040404,0.01955034,0.03910068,0.03132137,0.01500816,0.009461664,0,0.04926591,0.03621534,0.02414356,0.01044046,0.05546493,0.04176183,0.02642741,0.009787928,0.05448613,0.03686786,0.01924959,0.01892333,0.201373,0.1990847,0.1833933,0.1480876,0.2079111,0.2543315,0.2356979,0.1729323,0.1997385,0.2294868,0.1928735,0.1153972,0.1847009,0.2474665,0.1454724,0.143511
26,0.2337705,0.1921311,0.1832787,0.1481967,0.2396721,0.297377,0.3616394,0.1868853,0.2006557,0.2268852,0.1754098,0.12,0.1963934,0.2209836,0.1527869,0.1039344,0.1902263,0.1876025,0.1954739,0.1518531,0.2112168,0.2695966,0.249918,0.1574287,0.1918662,0.2276156,0.1918662,0.1229911,0.2013775,0.2292555,0.1407019,0.1407019,0.199147,0.1866798,0.1755249,0.1492782,0.2047244,0.03772966,0.03510499,0.156168,0.2001312,0.2168635,0.1922572,0.1217192,0.1968504,0.0328084,0.02230971,0.1414042,0.03211009,0.01277851,0.01408912,0,0.04652687,0.03899083,0.02653997,0.00819135,0.04980341,0.04030144,0.02686763,0.01179554,0.05865007,0.0412844,0.01998689,0.03964613,0.03149606,0.0144357,0.01049869,0,0.04888451,0.03510499,0.02493438,0.01082677,0.05610236,0.04035433,0.02755906,0.0101706,0.05479003,0.03608924,0.02001312,0.01902887,0.2030891,0.2011173,0.1846862,0.1501807,0.2103188,0.256326,0.2369372,0.1744989,0.2014459,0.2306934,0.1948735,0.1156753,0.1866579,0.2504108,0.1468945,0.1449228
27,0.235023,0.1922317,0.1823568,0.1477946,0.2419355,0.2975642,0.3666886,0.1866359,0.2014483,0.2281106,0.1757735,0.1194865,0.1978275,0.220869,0.1533904,0.1046741,0.1913702,0.1874177,0.1956522,0.1515152,0.2117918,0.2704216,0.2506588,0.1581028,0.1936759,0.229249,0.192029,0.1235178,0.2019104,0.2305665,0.140975,0.1416337,0.1996041,0.1857473,0.1751897,0.1487958,0.2052128,0.03596173,0.03365226,0.156384,0.2009238,0.2170901,0.1916859,0.1207522,0.1982844,0.03233256,0.02111514,0.1405477,0.03193941,0.0118538,0.01350016,0,0.04576885,0.03786632,0.02568324,0.00856108,0.04939085,0.04017122,0.02700033,0.01119526,0.05893974,0.04148831,0.02008561,0.0391834,0.03063241,0.01482213,0.0102108,0,0.04841897,0.0359025,0.02503294,0.01086957,0.05500659,0.04117259,0.0273386,0.0102108,0.05434782,0.03623188,0.01976285,0.0187747,0.2040884,0.2014507,0.1852951,0.1506759,0.2103528,0.2568414,0.2377184,0.1760633,0.2030992,0.2311243,0.1958457,0.1173755,0.1872733,0.2518958,0.148368,0.14606
28,0.2363636,0.1933884,0.1834711,0.1484298,0.2429752,0.3001653,0.3722314,0.1894215,0.202314,0.2287603,0.1765289,0.1203306,0.197686,0.2221488,0.153719,0.1057851,0.192791,0.1891534,0.1977513,0.1531085,0.213955,0.2718254,0.2523148,0.1590609,0.1944444,0.2308201,0.1941138,0.1246693,0.2040344,0.2311508,0.1421958,0.1428571,0.2000664,0.1874585,0.1768414,0.1502986,0.2060385,0.03649635,0.03384207,0.1569343,0.2013935,0.2183145,0.1927671,0.1217651,0.1987392,0.03251493,0.02156603,0.1413404,0.0327381,0.01256614,0.01388889,0,0.04695767,0.0380291,0.02645503,0.00760582,0.05026455,0.04034391,0.02612434,0.01124339,0.0598545,0.04100529,0.02017196,0.03902116,0.0314778,0.01524188,0.01060305,0,0.04937045,0.03611663,0.02485089,0.01060305,0.055666,0.0417495,0.02717031,0.009940358,0.055666,0.03711067,0.01988072,0.01921803,0.2052387,0.2022546,0.1863395,0.1518568,0.21187,0.2582891,0.2390584,0.1767241,0.2032493,0.2327586,0.1962865,0.117374,0.1876658,0.2539788,0.1488727,0.1462202
29,0.2380319,0.1938165,0.1831782,0.1486037,0.244016,0.3021941,0.3773271,0.1888298,0.2024601,0.2300532,0.1771941,0.1206782,0.1981383,0.2234043,0.1542553,0.106383,0.1924227,0.1881024,0.1970754,0.1518777,0.2120306,0.2715188,0.2519109,0.1588568,0.1940844,0.2303091,0.1940844,0.1239614,0.2033898,0.2319708,0.1429046,0.1419076,0.2,0.1870216,0.1780366,0.1500832,0.20599,0.03693844,0.03494176,0.1580699,0.2019967,0.2189684,0.19401,0.1221298,0.1986689,0.03327787,0.02296173,0.1417637,0.03219383,0.01128443,0.01228012,0,0.04580153,0.03750415,0.02489213,0.008297378,0.04945237,0.03949552,0.02588782,0.01194822,0.05874544,0.0408231,0.01991371,0.03982741,0.03059528,0.01529764,0.009976721,0,0.04955105,0.03591619,0.02427669,0.01064184,0.05553708,0.04223479,0.02660459,0.009976721,0.05553708,0.03757898,0.01962088,0.01928833,0.2051965,0.2028648,0.1858761,0.1512325,0.2118588,0.2578281,0.2385077,0.1768821,0.2041972,0.2338441,0.1955363,0.1189207,0.188541,0.2558295,0.1479014,0.1469021
