Step1Channel1 2017-12-18-4Amplification-and-Melt-Carve
Data to qPCR SW,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11,A12,B12,C12,D12,E12,F12,G12,H12
11,0.1055261,0.06116578,0.05677517,0.04511733,0.1121877,0.07751703,0.09447388,0.06389099,0.07342922,0.08387585,0.09719909,0.0320969,0.08327025,0.07797123,0.08993187,0.05435276,0.06488781,0.1046089,0.06973924,0.06701031,0.07822923,0.1238629,0.0709521,0.051698,0.07898726,0.07822923,0.05942996,0.05700424,0.08217102,0.08050334,0.06049121,0.0820194,0.1165858,0.06200728,0.05942996,0.04699818,0.112644,0.07853244,0.06594906,0.05336568,0.08020012,0.07565191,0.1000606,0.03335355,0.07883566,0.07868405,0.09005458,0.05321407,0.06985907,0.1031975,0.07879982,0.04440067,0.07955751,0.1388089,0.07349598,0.06152447,0.07637521,0.07485983,0.06182755,0.05515987,0.08637673,0.08107289,0.06152447,0.1007728,0.3106796,0.08965413,0.1594357,0.2296723,0.1230279,0.1418386,0.08980583,0.05582524,0.2542476,0.109375,0.112409,0.131068,0.1043689,0.3202367,0.08768204,0.05764563,0.1208858,0.2677082,0.0638556,0.09282573,0.09055059,0.3198847,0.1395419,0.08964053,0.1139087,0.08372516,0.06340057,0.07553466,0.09115729,0.10769,0.0828151,0.1311998
12,0.105759,0.0612369,0.05637441,0.04528187,0.1129008,0.07764778,0.0939067,0.06397204,0.07384896,0.08372588,0.09785747,0.03251785,0.08402979,0.07825559,0.08995593,0.05424707,0.06523722,0.1050791,0.06979927,0.06721411,0.07861922,0.1246959,0.07116789,0.05185523,0.07937956,0.07831509,0.05991484,0.05687348,0.08257299,0.0805961,0.06052312,0.08196472,0.116976,0.06160633,0.05932461,0.04700335,0.113021,0.07833891,0.0655613,0.05324003,0.08046851,0.07544874,0.1000913,0.03316094,0.07970794,0.07849102,0.09005172,0.05324003,0.06980988,0.10327,0.06631178,0.04441065,0.07954372,0.1391635,0.07346008,0.06022814,0.0765019,0.0748289,0.06174905,0.05520913,0.08653992,0.0869962,0.06144487,0.1006844,0.3115777,0.09006542,0.1597444,0.227902,0.1239921,0.1428571,0.09006542,0.05598661,0.2540697,0.1090826,0.112886,0.1311426,0.105127,0.3182717,0.08823977,0.0579644,0.1249619,0.2692542,0.06392694,0.09330289,0.09041096,0.3211568,0.1392694,0.08995434,0.1146119,0.08371385,0.06362253,0.07549467,0.09193303,0.1082192,0.08295281,0.1319635
13,0.1067399,0.06129918,0.0568771,0.04452577,0.1134492,0.07792009,0.09408356,0.06404392,0.07426044,0.08371454,0.09881061,0.03232693,0.08432449,0.07807259,0.0905764,0.05443733,0.0656188,0.1062109,0.07004426,0.06745002,0.07889516,0.1254387,0.07111247,0.05218984,0.07981078,0.07874256,0.05981993,0.05768351,0.08286281,0.08148939,0.06073554,0.08240501,0.1179973,0.06166998,0.05968554,0.04701572,0.1138757,0.0787666,0.06594413,0.05327431,0.08105633,0.07540833,0.1005953,0.03343001,0.07998779,0.0784613,0.09067318,0.05251107,0.06992366,0.1042748,0.06793893,0.04427481,0.08015267,0.14,0.07343511,0.06061069,0.07725191,0.07496183,0.06183206,0.05557252,0.08748092,0.08946565,0.06137405,0.1012214,0.3120611,0.09007633,0.1616794,0.228397,0.1244275,0.1429008,0.08992366,0.05618321,0.2548092,0.110229,0.1134351,0.1314504,0.1054962,0.319542,0.08839694,0.05786259,0.1252482,0.2712693,0.06384604,0.09347793,0.09118681,0.3221323,0.1394532,0.09011761,0.1151673,0.08400794,0.06338781,0.07621811,0.09256148,0.1081411,0.08736826,0.129525
14,0.1076947,0.06119015,0.05675386,0.04528071,0.1142726,0.07771149,0.09392688,0.06348478,0.07419305,0.08398348,0.1001989,0.03212483,0.08505431,0.07893529,0.09147927,0.05430626,0.06566662,0.1074545,0.07010562,0.06765651,0.07883056,0.1270473,0.07133017,0.05204347,0.08036124,0.07883056,0.05939079,0.05862544,0.08372876,0.08112659,0.06092148,0.08372876,0.119259,0.06200245,0.05955297,0.04730557,0.1154317,0.07853644,0.06567667,0.05327618,0.08159828,0.07562768,0.1016534,0.03322107,0.08022045,0.07853644,0.09170239,0.0528169,0.06968908,0.1050697,0.07213969,0.04426405,0.08025731,0.1410629,0.07351815,0.06065247,0.0770409,0.07474345,0.06157145,0.05636391,0.08745597,0.09051922,0.06141829,0.1018533,0.3143864,0.09054696,0.1604106,0.2288954,0.1257852,0.1450896,0.09070017,0.05592156,0.2563199,0.1104642,0.1149073,0.1320668,0.1060211,0.3197487,0.08824881,0.0582197,0.1273368,0.2735213,0.06420472,0.09454489,0.09102053,0.3247012,0.1405149,0.09071407,0.1153846,0.08473797,0.06359179,0.07722954,0.09285934,0.1089488,0.08519767,0.1342323
15,0.1107532,0.06089891,0.05675717,0.04601933,0.1199571,0.07792606,0.09449302,0.06243289,0.0753183,0.08482896,0.1029299,0.03267372,0.08574935,0.07992023,0.09372603,0.0549164,0.06570464,0.1103776,0.07000307,0.06723979,0.07906049,0.1301811,0.07123119,0.05204176,0.08059564,0.079214,0.05971753,0.05987105,0.08412649,0.08167025,0.06048511,0.08550814,0.1226966,0.06234644,0.05988944,0.04745086,0.1183968,0.07923833,0.0661855,0.0534398,0.08215602,0.07585995,0.1039619,0.03363022,0.07340295,0.07954545,0.09321253,0.05313268,0.07003532,0.1082783,0.07556443,0.04438642,0.08063278,0.1443711,0.07448933,0.06112732,0.07786822,0.07525726,0.06189525,0.05790201,0.08800492,0.0915374,0.06174167,0.1035171,0.3176579,0.09190103,0.1609036,0.2294452,0.1287844,0.1438451,0.0905179,0.05686184,0.2629476,0.110189,0.1177194,0.1321654,0.1068081,0.3214999,0.08990318,0.05824497,0.127228,0.276429,0.06376767,0.09357714,0.09142594,0.3274432,0.1405962,0.08988937,0.1152428,0.08466503,0.0633067,0.07851875,0.0926552,0.1083282,0.08312846,0.1361401
16,0.1154201,0.06186519,0.0567867,0.0449369,0.1220376,0.07833179,0.09372114,0.06248076,0.07540782,0.08479532,0.1074177,0.03216374,0.08633426,0.07956294,0.09679902,0.05463219,0.06652294,0.1151832,0.07037265,0.06636895,0.07914998,0.1356637,0.07160456,0.05174007,0.08130582,0.078996,0.05943948,0.06282722,0.08453958,0.08130582,0.06097937,0.08931321,0.1272139,0.06314492,0.05991067,0.04758971,0.1225936,0.07962421,0.06684121,0.05405822,0.08239643,0.07592792,0.115201,0.03357462,0.07115355,0.07900816,0.09687356,0.05267211,0.07041603,0.1134052,0.08335901,0.04422188,0.08104777,0.1493066,0.07411402,0.0605547,0.07812019,0.0751926,0.0624037,0.06040062,0.08890601,0.09275809,0.0614792,0.1064715,0.3221383,0.09120321,0.1608381,0.2290864,0.1332614,0.1435834,0.0904329,0.05638577,0.2595902,0.1103066,0.1223232,0.1329533,0.1069173,0.3219843,0.09320598,0.0577723,0.1273876,0.2826556,0.06407887,0.09349969,0.09195933,0.3331793,0.1401725,0.08995687,0.1158349,0.08579791,0.06407887,0.08148491,0.09380776,0.1089033,0.08302526,0.1386322
17,0.125135,0.06202747,0.05708995,0.04443759,0.130844,0.07822867,0.09381268,0.06403333,0.07606851,0.08517204,0.1172659,0.03240241,0.08671501,0.07992594,0.1039963,0.05539269,0.06639901,0.1258493,0.07134033,0.06732551,0.07906115,0.1468499,0.07164916,0.0520383,0.08153181,0.07936998,0.05960469,0.068252,0.08570105,0.08137739,0.06084003,0.09589253,0.137473,0.06271239,0.06054989,0.04772938,0.1319123,0.07985789,0.06688292,0.0540624,0.08310164,0.07615076,0.1246525,0.03367315,0.07151683,0.07893111,0.1033364,0.05344455,0.07094281,0.1228748,0.08608964,0.04451314,0.08098918,0.15966,0.07434312,0.06120557,0.07836167,0.0755796,0.06213292,0.06615147,0.0893354,0.09335394,0.06151468,0.1139104,0.3303461,0.09131644,0.1606922,0.2357849,0.1426143,0.1441595,0.09131644,0.05670581,0.2583436,0.1104759,0.1324166,0.1375155,0.1081582,0.3220025,0.0999691,0.05886897,0.1276859,0.293863,0.06415211,0.09367754,0.09182253,0.344721,0.1400526,0.09058587,0.1160921,0.08502087,0.06368836,0.08718503,0.0939867,0.1086721,0.08332045,0.1457721
18,0.1433653,0.06217136,0.05706774,0.04500464,0.1313022,0.0785648,0.09495825,0.06464584,0.07670894,0.08552428,0.1364058,0.03278688,0.08691618,0.08057532,0.1173832,0.05536653,0.06681101,0.1453758,0.07067739,0.06804825,0.07933807,0.1676462,0.07191463,0.05258274,0.08196721,0.07980204,0.05985153,0.08026601,0.08583359,0.0816579,0.06093412,0.1102691,0.1561436,0.0626741,0.06050758,0.04750851,0.1487156,0.07985144,0.06700712,0.0544723,0.08325596,0.07613742,0.140978,0.03373569,0.07412565,0.07907768,0.1165274,0.0538533,0.07059916,0.1416628,0.08685555,0.04412448,0.08112711,0.1788203,0.07400526,0.0599164,0.07849512,0.0749342,0.06177427,0.07679208,0.08948754,0.09351293,0.0613098,0.1267998,0.3482032,0.09123296,0.1612453,0.2318773,0.1598513,0.1445167,0.09092318,0.05653656,0.2591388,0.1110595,0.1508674,0.1344486,0.1084263,0.3224907,0.1127633,0.05855019,0.127943,0.3142813,0.06474597,0.09371128,0.09231722,0.3664808,0.141109,0.0901487,0.1169455,0.08519207,0.06381661,0.09804833,0.09433085,0.1084263,0.08503717,0.1576828
19,0.1784329,0.06252909,0.05694337,0.04515128,0.1792087,0.07882079,0.09402638,0.06330489,0.07680372,0.08580295,0.1719162,0.0325834,0.08782002,0.0806827,0.1430566,0.05523662,0.06659423,0.1816206,0.07000931,0.06690469,0.07994412,0.207389,0.07202732,0.05184725,0.08196212,0.07932319,0.05945358,0.1012108,0.08615337,0.08149643,0.06069544,0.134896,0.1908089,0.06287844,0.06008384,0.04688713,0.181183,0.07995653,0.06582829,0.05387362,0.08368266,0.07654091,0.1718677,0.03400093,0.08414842,0.0793355,0.1406614,0.05340786,0.07079646,0.1776122,0.08818506,0.04424779,0.08150908,0.2159602,0.07467785,0.06148114,0.07871448,0.07545412,0.0619469,0.09687936,0.09020338,0.09470579,0.06148114,0.1515293,0.3819876,0.09161491,0.1614907,0.2304348,0.1930124,0.1454969,0.09114907,0.05698758,0.2597826,0.111646,0.1864907,0.1335404,0.1090062,0.3231367,0.1378882,0.05900621,0.1280099,0.352338,0.06416032,0.09398788,0.09352183,0.4067112,0.1388846,0.09041479,0.117446,0.08544353,0.06400497,0.1189995,0.09507535,0.109057,0.09833773,0.1769458
20,0.2421511,0.06279142,0.05704072,0.0447622,0.2395089,0.0792664,0.09434255,0.06450108,0.07724588,0.08626049,0.2385763,0.03294995,0.08812559,0.08082064,0.1907056,0.0556419,0.06702955,0.2506998,0.07060653,0.06765163,0.08009331,0.2816485,0.0726283,0.05225505,0.08258165,0.07993779,0.0600311,0.1412131,0.08693624,0.08164852,0.06127527,0.1842924,0.2559913,0.06318083,0.06037971,0.04652972,0.2405851,0.0804544,0.06613757,0.054155,0.08403362,0.07656396,0.229225,0.03439153,0.08854653,0.07936508,0.1861189,0.05368814,0.07127295,0.2443199,0.08932462,0.04466231,0.08263306,0.2844693,0.0751634,0.0620915,0.07967632,0.07563026,0.06240274,0.1350763,0.09119203,0.09477124,0.06193589,0.1981015,0.4441676,0.09141878,0.1610341,0.2300265,0.2529201,0.1459274,0.08954991,0.05668899,0.2602398,0.1118206,0.2524529,0.1334683,0.1096402,0.3242486,0.1840835,0.05886934,0.1275304,0.4230769,0.06493304,0.09436312,0.09342884,0.4822485,0.1406104,0.09093741,0.1175646,0.08579881,0.0644659,0.157739,0.09592027,0.1090003,0.08330738,0.2187792
