# File test_qa.csv
# Generated by data_dfs_to_azcsv
# February 12, 2018
# Dataset QA_Actin (40, 96)
Step1Channel1   QA_Actin
Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
11,-15.362343168396402,-10.712078881691001,-17.1258340588211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.476533332765902,-17.2540114213016,-18.1934413639774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.8442416601292,-16.959808180255102,-15.4586984863272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.29630333225396,-3.9193917512175203,-5.201666920878781,-18.040499068803,-19.622267158323698,58.985078191713,NaN,NaN,NaN,NaN,NaN,NaN,-4.02399386570687,-8.73146090231239,-16.1517674684401,-19.1321597232118,-19.6773692733987,71.4000704812979,NaN,NaN,NaN,NaN,NaN,NaN,-4.63539686529111,-3.67956586955006,-12.551555236023901,-16.077949868499697,-24.161959080328398,64.19706577210671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,-15.8307246255918,-19.7366682813554,-17.3590742696379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.044575573314397,-16.1154543058647,-21.403363014605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.8659300139634,-16.293447056355,-21.3161074496738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.711717584867981,-5.56340718238243,-11.9812123004394,-21.008914492659603,-6.18890364899107,186.147340347225,NaN,NaN,NaN,NaN,NaN,NaN,-4.02031749766957,-9.75168329088501,-21.1865784221682,-20.445645724641498,-12.076531715511,202.299224513023,NaN,NaN,NaN,NaN,NaN,NaN,-4.68117738526325,-2.9688918832844102,-12.375475159165001,-16.8505148066615,-10.2831459105273,189.146566826787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,-19.4930659759721,-11.593210862330999,-18.6709437314476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-16.6313988259217,-17.6332152239293,-18.3172368572041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-13.6855545608896,-22.5437368234834,-22.1922131122783,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.72572377424967,-1.5309403905776,-10.099187472350401,-19.8765867705079,13.6458547944367,425.944873213314,NaN,NaN,NaN,NaN,NaN,NaN,-6.647636156087169,-2.4630598056192,-19.6751185420917,-24.8364816776084,9.98477113515673,463.71195412170897,NaN,NaN,NaN,NaN,NaN,NaN,-5.2401939847040895,-6.93813154768304,-9.138242143834761,-21.2116651336228,12.834809068471301,431.685353370577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,-14.6999489353466,-16.8950557336557,-17.1537837508486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.213700767911199,-16.2560456187448,-12.348416382113099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22.1456321178021,-24.9916367104788,-15.886731270215002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.04956654581838,-4.00130921868094,-9.106894913368711,-14.047701743620602,46.734383255896304,879.854011450258,NaN,NaN,NaN,NaN,NaN,NaN,-8.44345484485439,-7.766428418071881,-18.621577135296302,-15.8686273206176,57.9077245892031,963.727987112329,NaN,NaN,NaN,NaN,NaN,NaN,-4.35121640985017,-13.7576290779025,-11.9300952723361,-23.125219808981498,54.9133438406388,886.392192578443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,-14.157110634831,-20.149003740883,-17.7285272089639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.126961552873599,-15.9595299690891,-19.6205985529768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.0815771238113,-21.354872285221102,-19.4444946870553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.43922588445366,-7.35571511110902,-15.676698337761099,-18.0689172535231,129.55123259158398,1656.6774536099697,NaN,NaN,NaN,NaN,NaN,NaN,-9.217468440516312,-17.9371098602496,-25.496575174402103,-17.6568385015235,145.88205832896003,1816.9198292447602,NaN,NaN,NaN,NaN,NaN,NaN,-5.817615304882571,-17.2282945758461,-11.006686575186,-14.0244244567448,137.80632774908702,1668.69269516911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,-4.66046098348579,-5.4982513879522195,-6.932211165843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.4471965270122404,-4.97590721114375,-5.307326362317331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7723173749072879,-3.31122225845138,-2.7964163508959197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.65848476236442,-5.740982988315411,-14.7796223132891,-5.11720639566192,284.5537199768,2901.14295530045,NaN,NaN,NaN,NaN,NaN,NaN,-7.4151997958333595,-11.9388215219524,-27.311208455274,-3.84002705030707,326.011267592621,3197.21455721912,NaN,NaN,NaN,NaN,NaN,NaN,-6.324921269194419,-17.6631318590908,-14.1967453875159,-6.5818022675330194,309.19978039333097,2941.23297617284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,14.013101207428,15.897421529428401,18.431533184862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.8242874805865,12.6614331486326,16.8558188903726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.1964152510654,17.6786145007263,18.6384208851068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.85078369380699,-14.968935585311598,-15.0903798947766,19.1280907328101,577.511219703578,4367.8721281916705,NaN,NaN,NaN,NaN,NaN,NaN,-11.972265894201,-13.403422536153801,-30.3599683949724,13.5400893997039,655.467638850475,4751.52602585791,NaN,NaN,NaN,NaN,NaN,NaN,-9.31381184012025,-21.0658620122913,-13.047381716554801,17.3757456961048,617.246246917561,4451.94394226838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,63.7761430263208,62.0865655238367,62.8161411470619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.14520482251739,66.4364648357296,66.2043174083019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.8529395913356,73.6504229423463,64.1032454811948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.6362524019114,-14.654761178661802,-9.30267853494297,68.04682761083771,1107.28080165099,5648.465282102011,NaN,NaN,NaN,NaN,NaN,NaN,-15.124426611569099,-20.339192999797,-29.491915114133,73.8417735267276,1259.63437659459,6212.21878767461,NaN,NaN,NaN,NaN,NaN,NaN,-12.370053119721,-22.9178116478579,-8.33682865950595,68.8727996350235,1188.35788303058,5735.79985145547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,163.257888260927,156.82310904741502,151.344904623454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,151.098461458564,158.887453259724,162.391799707511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,164.030248378928,168.927989585891,163.782219271636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.971732931086098,-11.7511319491132,-3.76328774497688,171.285574967423,2015.7596149674803,6848.542483827359,NaN,NaN,NaN,NaN,NaN,NaN,-14.3065452511755,-16.3766174303637,-18.028952292274,180.53655565731202,2279.64863070359,7517.178149070309,NaN,NaN,NaN,NaN,NaN,NaN,-7.03983662606333,-27.76753820255,-2.4818029169782703,169.77243665709298,2163.8010840108604,6941.7959283781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,349.921860195366,318.91953763965,320.497438913294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,319.505546640006,342.110240697787,337.980033640535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,336.876629812636,357.29163981934306,346.306565609126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-13.260952845050301,-14.843079018057301,16.2205219060006,358.906866418414,3329.46252164335,7916.875144396271,NaN,NaN,NaN,NaN,NaN,NaN,-12.3188967260812,-18.4101261222504,-2.2803760635806603,378.238730527492,3762.8349219122497,8685.93840642438,NaN,NaN,NaN,NaN,NaN,NaN,-10.9898295108242,-27.5833054496934,13.9285682178606,362.219041775697,3564.5009762612603,8015.60971540525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
